Ad Name,Category,Month,Year,Attribution setting,Result Type,Marketing Channel,Results,Conversions,Total Sales,Reach,Impressions,Cost per result,Advertising Budget,Frequency,Clicks (all),CPC (all),CTR (all),"CPM (cost per 1,000 impressions)",Page engagement,Follows or likes,Post comments,Post engagements,Post reactions,Post saves,Post shares,Photo views,Video plays at 25%,Video plays at 50%,Video plays at 75%,Video plays at 95%,Video plays at 100%,Video plays,ThruPlays,Link clicks,CTR (link click-through rate),Unique CTR (link click-through rate),Unique link clicks,Outbound CTR (click-through rate),CPC (cost per link click),Cost per unique link click,Cost per outbound click
11:11 Sale,Promotions,11,2022,7-day click or 1-day view,Landing page views,Consideration,955,12,555200,18603,25057,5.24,5000,1.34693329,2548,1.96232339,10.1688151,199.5450373,6120,2,,6118,26,5,3,,6267,4079,2966,2367,2257,14845,2261,1372,5.47551582,6.41294415,1193,5.47551582,3.64431487,4.19111484,3.64431487
Black Friday Giveaway,Promotions,11,2022,7-day click or 1-day view,Reach,Awareness,103201,21,785450,103201,107986,48.45,5000,1.04636583,224,22.32142857,0.2074343,46.30229845,108,2,,106,33,2,1,39,,,,,,,,31,0.02870743,0.0281005,29,0.02685533,161.2903226,172.4137931,172.4137931
Eternal Elegance,Workwear,11,2022,7-day click or 1-day view,ThruPlay,Awareness,15752,28,1045200,29829,44187,0.32,5000,1.48134366,511,9.78473581,1.15644873,113.155453,24361,1,,24360,81,6,7,,18167,16201,14721,13970,12275,40683,15752,289,0.65403852,0.94538872,282,0.65177541,17.30103806,17.73049645,17.36111111
11:11 Sale,Promotions,11,2022,7-day click or 1-day view,Reach,Awareness,99969,34,1240100,99969,103083,45.01,4500,1.03114966,488,9.22131148,0.47340493,43.65414278,2120,3,,2117,22,3,1,14,3605,1411,836,620,596,34522,601,118,0.11447086,0.11503566,115,0.10282976,38.13559322,39.13043478,42.45283019
Suave,Workwear,12,2022,7-day click or 1-day view,ThruPlay,Awareness,8207,46,1963000,12248,16173,0.53,4367,1.32046048,179,24.39435754,1.10678291,269.9925802,11396,1,,11395,28,1,1,,8933,8261,7225,6599,6387,15499,8207,107,0.66159649,0.84911822,104,0.66159649,40.80925234,41.98644231,40.80925234
Signature style Dynamic Ads,Workwear,10,2022,7-day click or 1-day view,Website purchases,Conversion,2,2,112000,9615,16776,2116.77,4234,1.74477379,644,6.57380435,3.83881736,252.3563424,449,,,449,28,2,1,,12,5,2,2,2,140,4,397,2.36647592,3.78575143,364,2.36647592,10.66380353,11.63057692,10.66380353
Spin and Win,Promotions,10,2022,7-day click or 1-day view,Reach,Awareness,193826,54,1352100,193826,196392,20.64,4000,1.01323868,648,6.17283951,0.32995234,20.36742841,487,4,,483,24,3,2,316,,,,,,,,138,0.07026763,0.06758639,131,0.06670333,28.98550725,30.53435115,30.53435115
Teentastic,Casual wear,11,2022,7-day click or 1-day view,Post engagements,Awareness,12336,41,1215000,55200,98921,0.32,4000,1.7920471,13240,0.3021148,13.38441787,40.43630776,12354,18,,12336,407,16,4,507,,,,,,,,11402,11.52636953,17.43478261,9624,0.01213089,0.35081565,0.4156276,333.3333333
Cyber Monday,Promotions,11,2022,7-day click or 1-day view,Reach,Awareness,123487,42,1147500,123487,128924,32.39,4000,1.04402893,203,19.7044335,0.15745711,31.02603084,123,1,,122,10,1,,56,,,,,,,,55,0.04266079,0.0445391,55,0.04266079,72.72727273,72.72727273,72.72727273
Symbol of splendour Link click,Party wear,11,2022,7-day click or 1-day view,Link clicks,Unknown,1060,51,1552300,40225,60362,3.3,3500,1.50060907,1474,2.37449118,2.44193367,57.98349955,1109,3,,1106,42,2,2,,,,,,,,,1060,1.7560717,2.2622747,910,0.1391604,3.30188679,3.84615385,41.66666667
Black Friday Sales,Promotions,11,2022,7-day click or 1-day view,Website purchases,Conversion,1,1,45200,5666,7522,3086.92,3087,1.32756795,432,7.14564815,5.74315342,410.3855358,154,,,154,14,,2,38,,,,,,,,100,1.32943366,1.65901871,94,1.30284499,30.8692,32.83957447,31.49918367
Deepavali Sale,Promotions,10,2022,7-day click or 1-day view,Reach,Awareness,123135,32,1253200,123135,123324,24.36,3000,1.0015349,199,15.07537688,0.16136356,24.32616522,93,,,93,8,,,75,,,,,,,,10,0.00810872,0.00812117,10,0.00648698,300,300,375
11:11 Sale,Promotions,11,2022,7-day click or 1-day view,ThruPlay,Awareness,16101,35,1324500,22049,24134,0.19,3000,1.09456211,444,6.75653153,1.83972818,124.3018149,18255,,,18255,,,,,19159,17312,16596,16271,16211,23734,16101,435,1.8024364,1.95927253,432,1.79829286,6.89632184,6.94421296,6.91221198
Casual and Chic Link Click,Casual wear,10,2022,7-day click or 1-day view,Link clicks,Unknown,918,45,1407500,41213,54603,2.72,2500,1.32489748,1355,1.84501845,2.48154863,45.78503013,968,,,968,49,1,,,,,,,,,,918,1.68122631,2.0988523,865,0.08424446,2.72331155,2.89017341,54.34782609
Casual Wear Collection,Casual wear,10,2022,7-day click or 1-day view,Post engagements,Awareness,20528,27,1052000,53809,88116,0.12,2500,1.63756992,20953,0.11931466,23.77888238,28.37169186,20528,,,20528,728,28,25,18390,,,,,,,,1357,1.54001543,2.41781115,1301,0.03291116,1.84229919,1.92159877,86.20689655
Signature Style Instant Experience Ads,Workwear,1,2022,7-day click or 1-day view,,Unknown,,,0,5694,7790,,2379,1.36810678,271,8.77782288,3.478819,305.36457,781,,,781,7,1,,,879,391,271,207,195,3851,201,157,2.01540436,2.6519143,151,0.35943517,15.15152866,15.75357616,84.95678571
Elegance and Ease (Retargeting),Promotions,10,2022,7-day click or 1-day view,,Unknown,,,0,5552,8549,,2011,1.53980548,257,7.82622568,3.00619956,235.2719616,153,,,153,13,1,1,,,,,,,,,138,1.61422389,1.89121037,105,1.61422389,14.57492754,19.15561905,14.57492754
Cyber Monday,Promotions,11,2022,7-day click or 1-day view,Landing page views,Consideration,127,21,805200,6800,10422,15.75,2000,1.53264706,383,5.22193211,3.67491844,191.9017463,216,1,,215,9,,,12,,,,,,,,194,1.86144694,2.69117647,183,1.84225676,10.30927835,10.92896175,10.41666667
Black Friday,Promotions,11,2022,7-day click or 1-day view,Landing page views,Consideration,128,22,752000,5253,7390,15.63,2000,1.40681515,448,4.46428571,6.06224628,270.6359946,209,,,209,9,,,48,,,,,,,,152,2.05683356,2.72225395,143,2.01623816,13.15789474,13.98601399,13.42281879
