Ad Name,Category,Month,Year,Attribution setting,Result Type,Marketing Channel,Results,Conversions,Total Sales,Reach,Impressions,Cost per result,Advertising Budget,Frequency,Clicks (all),CPC (all),CTR (all),"CPM (cost per 1,000 impressions)",Page engagement,Follows or likes,Post comments,Post engagements,Post reactions,Post saves,Post shares,Photo views,Video plays at 25%,Video plays at 50%,Video plays at 75%,Video plays at 95%,Video plays at 100%,Video plays,ThruPlays,Link clicks,CTR (link click-through rate),Unique CTR (link click-through rate),Unique link clicks,Outbound CTR (click-through rate),CPC (cost per link click),Cost per unique link click,Cost per outbound click
Revamp Collection,Work wear,4,2023,7-day click or 1-day view,ThruPlay,Awareness,23229,29,1184500,16948,35384,0.43,10000,2.08779797,147,68.02721088,0.41544201,282.6136107,27101,,,27101,1,,,,24713,23659,21616,19831,19762,34123,23229,140,0.39565905,0.82015577,139,0.39565905,71.42857143,71.94244604,71.42857143
Extended Upto 50% OFF,Promotions,5,2023,7-day click or 1-day view,Reach,Awareness,310464,19,767500,310464,322019,32.21,10000,1.03721849,1057,9.46073794,0.3282415,31.05406824,617,,,621,38,1,,,,,,,,,,578,0.17949251,0.18456246,573,0.17918197,17.30103806,17.45200698,17.33102253
Enchante Collection,Party wear,4,2023,7-day click or 1-day view,Website purchases,Conversion,9,9,378500,22558,54246,1111.11,10000,2.40473446,2009,4.9776008,3.70349888,184.3453895,5570,,,5570,71,8,4,,6168,3284,2208,1788,1707,27760,1717,874,1.6111787,3.41785619,771,1.60933525,11.4416476,12.97016861,11.45475372
White by Panthera Link cli,White,4,2023,7-day click or 1-day view,Link clicks,Unknown,337,38,1559800,75840,118610,29.67,10000,1.56395042,1199,8.34028357,1.01087598,84.30992328,731,,,734,370,19,5,,,,,,,,,337,0.28412444,0.43380802,329,,29.6735905,30.39513678,
KOKO Offer Landing,Promotions,4,2023,7-day click or 1-day view,Landing page views,Consideration,694,32,1314700,51120,90122,14.41,10000,1.76294992,3538,2.82645562,3.92578949,110.9606977,1429,,2,1429,56,6,1,24,,,,,,,,1340,1.48687335,2.30633803,1179,0.69128515,7.46268657,8.48176421,16.05136437
Eid Offer,Promotions,4,2023,7-day click or 1-day view,Website purchases,Conversion,15,15,639100,28704,42884,666.67,10000,1.4940078,1820,5.49450549,4.24400709,233.1872027,696,,,696,30,2,3,,,,,,,,,661,1.54136741,2.01714047,579,1.49472997,15.12859304,17.27115717,15.60062402
Revamp Collection,Work wear,4,2023,7-day click or 1-day view,Post engagements,Awareness,58605,21,857000,169124,332038,0.17,10000,1.96328138,60472,0.16536579,18.21237328,30.1170348,58621,16,5,58605,1570,80,87,52489,,,,,,,,4374,1.3173191,2.34147726,3960,0.02620182,2.28623685,2.52525253,114.9425287
30th - Red Collection Video,Promotions,,2023,7-day click or 1-day view,Landing page views,Consideration,871,,0,35622,82501,11.48,10000,2.31601258,3425,2.91970803,4.15146483,121.210652,16940,1,,16939,49,1,2,,12481,7204,5168,4307,4110,28546,4055,3035,3.67874329,7.70591208,2745,3.67510697,3.29489292,3.64298725,3.29815303
Avurudu Asiriya Collection,Festive,4,2023,7-day click or 1-day view,ThruPlay,Awareness,20550,26,1056400,46305,55837,0.49,10000,1.2058525,875,11.42857143,1.56706127,179.0927163,30260,,1,30260,60,2,2,,8426,1838,1155,486,290,51292,20550,617,1.10500206,1.29143721,598,1.10500206,16.20745543,16.72240803,16.20745543
Women's Day Video (Existing Audience),Promotions,2,2023,7-day click or 1-day view,ThruPlay,Awareness,16750,14,567840,17936,28992,0.6,10000,1.61641392,190,52.63157895,0.6553532,344.9227373,20059,,,20059,9,,,,17258,1818,1640,565,534,27980,16750,123,0.42425497,0.6690455,120,,81.30081301,83.33333333,
Vibrant Outlook Link click,Casual wear,6,2023,7-day click or 1-day view,Link clicks,Unknown,428,32,1108500,68494,127860,23.36,10000,1.86673285,908,11.01321586,0.71015173,78.21054278,820,,,820,356,30,6,,,,,,,,,428,0.33474112,0.59859258,410,,23.36448598,24.3902439,
Giveaway,Promotions,3,2023,7-day click or 1-day view,Website purchases,Conversion,11,11,387400,21540,51198,909.09,10000,2.37688022,1405,7.11743772,2.74424782,195.3201297,576,2,3,576,56,5,4,,,,,,,,,506,0.98831986,2.01485608,434,0.96878784,19.76284585,23.04147465,20.16129032
25% OFF,Promotions,6,2023,7-day click or 1-day view,Reach,Awareness,289143,17,625800,289143,305347,34.58,10000,1.05604147,729,13.71742112,0.23874477,32.74962584,404,,1,404,30,,,296,,,,,,,,77,0.02521721,0.02663042,77,0.02521721,129.8701299,129.8701299,129.8701299
Boss Lady,Work wear,3,2023,7-day click or 1-day view,Landing page views,Consideration,1142,34,1058530,39304,80855,8.76,10000,2.05716975,3838,2.60552371,4.74676891,123.6781894,13665,2,2,13663,77,3,2,,6150,4273,3100,1834,1615,20909,4251,3071,3.79815719,7.05017301,2771,3.79692041,3.25626832,3.60880549,3.25732899
30th - Red Collection Engagement,Promotions,,2023,7-day click or 1-day view,Post engagements,Awareness,37944,,0,193662,355290,0.26,10000,1.8345881,39395,0.25383932,11.08812519,28.14602156,37978,34,2,37944,1310,65,56,34292,,,,,,,,2219,0.62456022,1.1137962,2157,0.01069549,4.50653447,4.63606861,263.1578947
20% OFF on Party Wear,Promotions,5,2023,7-day click or 1-day view,Landing page views,Consideration,628,17,698500,52882,92299,15.92,10000,1.7453765,2523,3.96353547,2.73350741,108.3435357,1261,,,1261,68,6,2,,,,,,,11,,1184,1.28278746,2.05173783,1085,1.27628685,8.44594595,9.21658986,8.48896435
Ease and Elegance Link Click,Work wear,1,2023,7-day click or 1-day view,Link clicks,Unknown,3863,57,2296500,89824,159657,2.59,10000,1.77744255,4896,2.04248366,3.06657397,62.63427222,3960,,1,3960,90,5,1,,,,,,,,,3863,2.41956194,3.80744567,3420,0.00626343,2.58866166,2.92397661,1000
Urban and Ease,Casual wear,2,2023,7-day click or 1-day view,ThruPlay,Awareness,22214,17,689500,23136,40954,0.45,10000,1.77014177,289,34.60207612,0.70566978,244.176393,28343,,,28343,5,,,,23803,21735,12324,11812,11015,39408,22214,274,0.66904332,1.16701245,270,0.66904332,36.49635036,37.03703704,36.49635036
Blossome,Work wear,5,2023,7-day click or 1-day view,ThruPlay,Awareness,28217,16,649500,35408,53327,0.35,10000,1.50607207,500,20,0.93761134,187.5222683,34919,,,34919,26,1,2,,31024,28990,20349,17017,16884,49989,28217,382,0.71633506,1.05625847,374,0.71633506,26.17801047,26.73796791,26.17801047
Ease and Elegance Video Views,Work wear,1,2023,7-day click or 1-day view,ThruPlay,Awareness,26620,14,578500,32496,45190,0.38,10000,1.39063269,582,17.18213058,1.28789555,221.2878956,33074,1,,33073,21,1,,,30274,27955,26926,7516,7213,43900,26620,505,1.11750387,1.50480059,489,1.10643948,19.8019802,20.44989775,20
Urban and Ease Link Click,Casual wear,2,2023,7-day click or 1-day view,Link clicks,Unknown,3947,49,1987400,133472,201674,2.53,10000,1.51098358,5162,1.93723363,2.55957635,49.58497377,4054,2,1,4052,99,3,2,,,,,,,,,3947,1.95711891,2.55783985,3414,0.04908912,2.5335698,2.92911541,101.010101
Casual Wear Discount,Promotions,3,2023,7-day click or 1-day view,Website purchases,Conversion,36,36,1095200,17008,35248,277.78,10000,2.0724365,3071,3.25626832,8.71255107,283.70404,1464,,,1464,41,7,5,68,,,,,,,,1343,3.81014526,6.2088429,1056,3.6938266,7.44601638,9.46969697,7.68049155
Mellow Link Click,Casual wear,5,2023,7-day click or 1-day view,Link clicks,Unknown,260,37,1495200,75696,141745,38.46,10000,1.87255601,599,16.69449082,0.42258986,70.54922572,475,,,475,201,10,4,,,,,,,,,260,0.18342799,0.33951596,257,,38.46153846,38.91050584,
30th - Red Collection Traffic Ad,Promotions,,2023,7-day click or 1-day view,Link clicks,Unknown,3080,,0,108279,208648,3.25,10000,1.92694798,23634,0.42311924,11.32721138,47.92761014,22248,8,6,22240,620,42,47,18445,,,,,,,,3080,1.47617039,2.66348969,2884,0.03163222,3.24675325,3.46740638,151.5151515
Dazzling Delights,Party wear,2,2023,7-day click or 1-day view,ThruPlay,Awareness,25118,21,854700,24857,36093,0.4,10000,1.45202559,402,24.875199,1.11378938,277.0573241,29094,,,29094,2,,,,26975,25695,24214,7946,7902,35470,25118,390,1.08054193,1.52472141,379,1.07777131,25.64058974,26.38477573,25.70650386
Work Wear Offers,Promotions,3,2023,7-day click or 1-day view,Website purchases,Conversion,22,22,748600,15504,38335,454.17,9992,2.47258772,2419,4.13049194,6.31016043,260.6406678,1022,,,1022,45,7,3,3,,,,,,,,964,2.51467328,4.87616099,756,2.12077736,10.36479253,13.21648148,12.2898647
Avurudu Asiriya,Promotions,4,2023,7-day click or 1-day view,Website purchases,Conversion,13,13,547800,23136,46873,735.56,9562,2.02597683,1491,6.4132998,3.18093572,204.0029441,5147,,,5147,50,5,2,,4917,2828,1668,1325,1254,26681,1196,541,1.15418258,2.0055325,464,1.15204915,17.67510166,20.60825431,17.70783333
Mellow,Casual wear,5,2023,7-day click or 1-day view,ThruPlay,Awareness,22774,21,845000,34784,49595,0.41,9312,1.42579922,470,19.81282979,0.94767618,187.7614679,32269,,,32269,18,1,,,30183,26350,24092,23164,22796,46818,22774,376,0.75814094,1.07233211,373,0.74805928,24.76603723,24.96522788,25.09981132
Enchante FB,Party wear,5,2023,7-day click or 1-day view,Messaging conversations started,Consideration,60,23,921400,34432,72835,153.79,9227,2.11532876,6266,1.47262209,8.6030068,126.6897783,5497,,8,5497,128,10,5,4641,,,,,,,,705,0.96794124,1.76289498,607,0.06590238,13.08858156,15.20172982,192.2385417
New Lungis,Promotions,4,2023,7-day click or 1-day view,Website purchases,Conversion,6,6,265800,30017,46014,1520.07,9120,1.53293134,1303,6.99955487,2.83174686,198.2096753,509,,,509,40,7,8,,,,,,,,,454,0.98665624,1.39587567,419,0.96492372,20.08903084,21.76711217,20.54148649
Sleek and Suit,Work wear,6,2023,7-day click or 1-day view,ThruPlay,Awareness,27241,16,604500,24759,41100,0.33,8946,1.66000242,271,33.01228782,0.6593674,217.6722628,31832,,,31832,4,,,,30205,28529,27691,24316,19243,39712,27241,246,0.59854015,0.96126661,238,0.59367397,36.36719512,37.58962185,36.66528689
Urban and Ease Link Click,Casual wear,3,2023,7-day click or 1-day view,Link clicks,Unknown,2684,51,1742000,138432,231511,3.24,8684,1.67238066,3618,2.40021835,1.56277671,37.51005352,2760,2,,2758,72,2,,,,,,,,,,2684,1.15934016,1.80232894,2495,0.01166251,3.23546572,3.48055711,321.6292593
Page Likes,Promotions,6,2023,7-day click or 1-day view,Follows or likes,Awareness,669,15,568900,59552,89199,12.77,8545,1.49783383,2048,4.17214355,2.29598987,95.79199318,1439,669,1,770,215,5,,,,,,,,,,549,0.61547775,0.90005373,536,,15.56384335,15.94132463,
Dazzling Delights Retar IG,Party wear,3,2023,7-day click or 1-day view,Messaging conversations started,Consideration,20,4,166500,17516,27296,425.41,8508,1.55834665,603,14.1099005,2.20911489,311.7039127,286,,,286,196,26,8,,,,,,,,,56,0.20515826,0.3025805,53,,151.9333929,160.5333962,
Nouveau,Work wear,6,2023,7-day click or 1-day view,Landing page views,Consideration,919,26,985000,33104,60643,9.24,8492,1.83189343,2155,3.94077494,3.55358409,140.0387514,6515,,1,6515,76,2,3,,2594,1875,1323,1114,995,10321,1859,1754,2.89233712,4.80908652,1592,2.89233712,4.84171608,5.33440327,4.84171608
Tease Video for Collection,Promotions,3,2023,7-day click or 1-day view,ThruPlay,Awareness,21750,19,687400,107040,120525,0.38,8222,1.12598094,2838,2.89713883,2.3546982,68.21887575,70898,1,1,70897,251,9,8,,36071,20772,11378,5672,4020,110180,21750,225,0.18668326,0.2073991,222,,36.54257778,37.0363964,
Dazzling Delights,Party wear,2,2023,7-day click or 1-day view,Post engagements,Awareness,49538,11,432500,135770,213750,0.16,8000,1.57435369,24346,0.32859607,11.38994152,37.42690058,49549,11,1,49538,897,66,33,20133,270,146,96,63,40,51463,1868,1731,0.80982456,1.22486558,1663,0.01356725,4.62160601,4.81058328,275.862069
Valentines Day Campaign Teaser,Promotions,2,2023,7-day click or 1-day view,Reach,Awareness,115298,12,478960,115298,116184,69.39,8000,1.00768444,239,33.47280335,0.20570819,68.85629691,21444,,,21444,79,,6,,11010,8245,2477,924,689,107310,1488,,,,,,,,
Avurudu Asiriya,Festive,4,2023,7-day click or 1-day view,Post engagements,Awareness,30267,28,1174800,121183,172544,0.26,7774,1.42383008,31813,0.24438028,18.43761591,45.05789828,30279,12,,30267,822,45,14,26519,,,,,,,,2867,1.66160516,2.27342119,2755,0.02028468,2.7117091,2.82194918,222.1277143
30th - Spend over LKR 8000,Promotions,,2023,7-day click or 1-day view,Reach,Awareness,230064,,0,230064,275093,30.43,7000,1.1957238,796,8.79396985,0.28935669,25.4459401,424,2,,422,35,5,,313,,,,,,,,69,0.02508243,0.02912233,67,0.0243554,101.4492754,104.4776119,104.4776119
Valentines Day Campaign Video,Promotions,2,2023,7-day click or 1-day view,Reach,Awareness,209664,18,715800,209664,212772,33.39,7000,1.01482372,614,11.40065147,0.2885718,32.89906567,12874,3,,12871,20,1,,,6839,2970,981,521,463,114718,1339,59,0.02772921,0.02814026,59,,118.6440678,118.6440678,
2nd - Spin & Win,Promotions,,2023,7-day click or 1-day view,Reach,Awareness,168129,,0,168129,221572,41.63,7000,1.31786902,1650,4.24242424,0.74467893,31.59243948,7766,3,2,7763,15,1,2,,8056,3994,2554,1964,1859,111587,1888,1097,0.49509866,0.59835008,1006,0.49509866,6.3810392,6.9582505,6.3810392
Urban and Ease,Casual wear,2,2023,7-day click or 1-day view,Website purchases,Conversion,1,1,47500,5436,12897,6179.79,6180,2.37251656,443,13.94986456,3.43490734,479.1649221,1439,,,1439,17,,1,,1651,901,584,459,437,6906,425,194,1.50422579,2.96173657,161,1.50422579,31.85458763,38.38378882,31.85458763
Avurudu Offer,Promotions,4,2023,7-day click or 1-day view,Website purchases,Conversion,12,12,498700,27440,32098,503.78,6045,1.16975219,2228,2.71333034,6.94124245,188.3388373,947,,6,947,54,2,7,,,,,,,,,878,2.73537292,2.36880466,650,2.66371737,6.88530752,9.30046154,7.07052632
2nd - Red Collection Video Views,Promotions,,2023,7-day click or 1-day view,ThruPlay,Awareness,16917,,0,18102,26154,0.35,6000,1.44481273,216,27.77777778,0.82587749,229.4104152,20288,,,20288,,,,,19417,18226,17460,17118,17053,25530,16917,206,0.78764243,1.10485029,200,0.77999541,29.12621359,30,29.41176471
Boss Lady,Work wear,3,2023,7-day click or 1-day view,ThruPlay,Awareness,15949,17,562000,27679,47972,0.38,6000,1.7331551,341,17.59530792,0.71083132,125.0729592,27942,1,,27941,29,1,,,19544,16405,14638,12823,12633,44700,15949,209,0.43567081,0.733408,203,0.42733261,28.70813397,29.55665025,29.26829268
White Collection Retar,White,4,2023,7-day click or 1-day view,Website purchases,Conversion,4,4,185600,7634,13892,1451.36,5805,1.81975373,493,11.7756998,3.54880507,417.8966312,1733,1,,1732,14,2,3,,1812,982,688,545,524,8618,525,235,1.69162108,2.63295782,201,1.69162108,24.70391489,28.88268657,24.70391489
Elegance and Ease Work Wear,Work wear,1,2023,7-day click or 1-day view,Website purchases,Conversion,4,4,174500,11352,22405,1333.13,5333,1.97366103,756,7.05358466,3.37424682,238.005356,3422,,1,3422,33,2,3,,4938,2759,2034,1711,1623,13567,1581,389,1.73621959,2.92459479,332,1.73621959,13.70825193,16.06177711,13.70825193
Vision Pro Post,Promotions,6,2023,7-day click or 1-day view,Reach,Awareness,182178,18,701500,182178,187660,27.45,5000,1.03009145,419,11.93317422,0.22327614,26.64393051,207,,,207,26,1,2,165,,,,,,,,13,0.00692742,0.00658696,12,,384.6153846,416.6666667,
Vibrant Outlook,Casual wear,6,2023,7-day click or 1-day view,Post engagements,Awareness,23724,15,585000,79774,149355,0.21,5000,1.87222654,24704,0.20239637,16.5404573,33.47728566,23724,,1,23724,594,22,8,21395,,,,,,,,1704,1.1409059,2.02446913,1615,0.01406046,2.9342723,3.09597523,238.0952381
Work Wear Offers,Promotions,4,2023,7-day click or 1-day view,Reach,Awareness,171263,17,698520,171263,175767,29.19,5000,1.02629873,599,8.34724541,0.34079207,28.44675053,311,3,,308,24,1,,26,,,,,,,,257,0.1462163,0.14830991,254,0.04949735,19.45525292,19.68503937,57.47126437
Enchante,Party wear,4,2023,7-day click or 1-day view,Post engagements,Awareness,44548,18,774800,162495,367331,0.11,5000,2.26056802,47003,0.10637619,12.79581631,13.61170171,44562,14,6,44548,1281,88,75,38766,,,,,,,,4332,1.17931784,2.53669344,4122,0.01932862,1.15420129,1.2130034,70.42253521
Casual Fusion,Casual wear,3,2023,7-day click or 1-day view,Post engagements,Awareness,31457,27,952400,66016,123272,0.16,5000,1.8673049,32793,0.15247156,26.6021481,40.56071127,31461,4,4,31457,937,46,44,27522,,,,,,,,2904,2.35576611,4.13233156,2728,0.05191771,1.72176309,1.83284457,78.125
Enchante Teaser Video,Party wear,4,2023,7-day click or 1-day view,ThruPlay,Awareness,13979,14,574800,37952,45449,0.36,5000,1.197539,784,6.37755102,1.72501045,110.0134216,23002,4,1,22998,187,14,19,,15262,11116,8098,2399,1931,41037,13979,1,0.00220027,0.00263491,1,,5000,5000,
Teaser Video for Collection,Promotions,3,2023,7-day click or 1-day view,ThruPlay,Awareness,11993,26,935700,18204,21793,0.42,5000,1.19715447,186,26.88172043,0.85348506,229.4314688,15138,,,15138,8,,,,12900,12036,1384,1092,1022,21013,11993,96,0.44050842,0.52186333,95,,52.08333333,52.63157895,
Giveaway,Promotions,2,2023,7-day click or 1-day view,Landing page views,Consideration,261,18,721480,22432,42066,19.16,5000,1.87526748,1234,4.05186386,2.93348548,118.8608377,680,,,680,34,4,1,12,,,,,,,,629,1.49526934,2.49643367,560,0.47068892,7.9491256,8.92857143,25.25252525
Casual Wear Offer,Promotions,3,2023,7-day click or 1-day view,Reach,Awareness,147296,21,741200,147296,149598,33.95,5000,1.01562839,793,6.30517024,0.5300873,33.42290672,360,3,,357,37,3,1,258,,,,,,,,58,0.03877057,0.03801868,56,0.03609674,86.20689655,89.28571429,92.59259259
Casual Wear Offer,Promotions,3,2023,7-day click or 1-day view,Landing page views,Consideration,916,13,445200,19956,31073,5.46,5000,1.55707557,2822,1.77179305,9.08183954,160.9114022,1637,2,1,1635,57,2,4,72,,,,,,,,1499,4.82412384,6.67969533,1333,4.6245937,3.33555704,3.75093773,3.47947112
Giveaway,Promotions,3,2023,7-day click or 1-day view,Reach,Awareness,186497,26,915200,186497,187098,26.81,5000,1.00322257,545,9.17431193,0.29129119,26.72396284,302,2,,301,16,1,1,,,,,,,,,282,0.15072315,0.15013646,280,0.14484388,17.73049645,17.85714286,18.4501845
Reward Post,Promotions,3,2023,7-day click or 1-day view,Reach,Awareness,168544,24,845200,168544,186523,29.67,5000,1.10667244,476,10.50420168,0.25519641,26.8063456,266,,,266,15,3,,182,,,,,,,,66,0.03538438,0.03915891,66,0.03431212,75.75757576,75.75757576,78.125
Urban Ease,Casual wear,2,2023,7-day click or 1-day view,Post engagements,Awareness,18286,13,514800,60656,109261,0.27,5000,1.80132221,18866,0.26502703,17.26691134,45.76198278,18290,4,,18286,696,16,10,16351,,,,,,,,1213,1.1101857,1.93550514,1174,0.01738955,4.12201154,4.25894378,263.1578947
Valentines Day Teaser,Promotions,2,2023,7-day click or 1-day view,ThruPlay,Awareness,4041,17,678500,26800,28846,1.24,5000,1.07634328,97,51.54639175,0.33626846,173.3342578,13623,,,13623,16,,1,,10383,7806,4942,344,281,26707,4041,,,,,,,,
Floral Printed Maxi skirt,Promotions,4,2023,7-day click or 1-day view,ThruPlay,Awareness,11330,11,459600,11340,16486,0.44,5000,1.45379189,120,41.66666667,0.72789033,303.287638,13371,,,13371,1,,,,12992,12404,11782,11396,11354,15878,11330,93,0.56411501,0.79365079,90,0.55804925,53.76344086,55.55555556,54.34782609
Casual Floral Printed Dress,Promotions,4,2023,7-day click or 1-day view,ThruPlay,Awareness,11156,16,658000,14597,18912,0.45,5000,1.29560869,208,24.03846154,1.0998308,264.3824027,13843,,,13843,8,1,,,12573,11437,8064,6932,6865,18130,11156,151,0.79843486,1.02760841,150,0.79843486,33.11258278,33.33333333,33.11258278
KOKO Offer,Promotions,4,2023,7-day click or 1-day view,Reach,Awareness,146368,21,874000,146368,147885,34.16,5000,1.01036429,614,8.14332248,0.41518748,33.81005511,298,,,298,18,,,40,,,,,,,,240,0.16228826,0.15987101,234,0.03178145,20.83333333,21.36752137,106.3829787
New Lungi,Promotions,4,2023,7-day click or 1-day view,Reach,Awareness,171232,19,774520,171232,174345,29.2,5000,1.01818001,750,6.66666667,0.43018154,28.67876911,319,4,1,317,34,2,2,104,,,,,,,,172,0.09865497,0.09869651,169,0.09521351,29.06976744,29.58579882,30.12048193
Elegance and Ease,Work wear,1,2023,7-day click or 1-day view,Post engagements,Awareness,20796,12,498500,71696,125164,0.24,5000,1.74575988,21732,0.23007546,17.36281998,39.94758876,20802,6,4,20796,967,35,30,17968,,,,,,,,1792,1.43172158,2.34183218,1679,0.03595283,2.79017857,2.97796307,111.1111111
Avurudu Offer,Promotions,4,2023,7-day click or 1-day view,Reach,Awareness,126369,17,699800,126369,130983,39.57,5000,1.03651212,704,7.10227273,0.53747433,38.17289267,288,2,,292,26,1,,,,,,,,,,259,0.19773558,0.20337266,257,0.19697213,19.30501931,19.45525292,19.37984496
Eid Offer,Promotions,4,2023,7-day click or 1-day view,Reach,Awareness,158944,15,612500,158944,163891,31.46,5000,1.03112417,478,10.46025105,0.29165726,30.50808159,260,2,,263,21,,,,,,,,,,,237,0.14460831,0.14847997,236,0.14460831,21.09704641,21.18644068,21.09704641
Charming Look,Promotions,1,2023,7-day click or 1-day view,Post engagements,Awareness,21294,11,452700,72144,126065,0.23,5000,1.74740796,22722,0.22005105,18.02403522,39.66207909,21319,25,,21294,545,17,7,934,,,,,,,,19791,15.69904414,22.66577955,16352,0.0190378,0.25264009,0.30577299,208.3333333
White by Panthera teaser,White,4,2023,7-day click or 1-day view,ThruPlay,Awareness,9693,13,537400,13548,15477,0.52,5000,1.14238264,100,50,0.64612005,323.0600246,11349,,,11349,1,,,,10276,9757,1757,1495,1481,15080,9693,80,0.51689604,0.59049306,80,,62.5,62.5,
Whit Collection,White,4,2023,7-day click or 1-day view,Post engagements,Awareness,34859,19,774500,104032,189002,0.14,5000,1.81676792,36505,0.13696754,19.31461043,26.45474651,34863,4,5,34859,1050,53,56,30217,,,,,,,,3478,1.84019217,3.22785297,3358,0.02698384,1.43760782,1.48898154,98.03921569
Card Offers,Promotions,3,2023,7-day click or 1-day view,Reach,Awareness,161283,19,678900,161283,187031,31,5000,1.15964485,640,7.8125,0.34218926,26.73353615,286,1,,285,33,,,233,,,,,,,,19,0.01015874,0.01178053,19,,263.1578947,263.1578947,
Womens Day Video,Promotions,2,2023,7-day click or 1-day view,Post engagements,Awareness,13086,12,486500,23440,25716,0.38,5000,1.09709898,185,27.02697297,0.71939648,194.4310935,13086,,,13086,5,,,,8768,535,320,171,159,23775,7900,94,0.36553119,0.39249147,92,,53.19138298,54.34771739,
Extended 20% Sale,Promotions,3,2023,7-day click or 1-day view,Website purchases,Conversion,4,4,165890,7614,13865,1223.94,4896,1.82098765,691,7.08502171,4.98377209,353.1013343,304,1,1,304,14,,1,,,,,,,,,287,2.06996033,3.12582086,238,1.99062387,17.05836237,20.57037815,17.73822464
Sleek and Suit,Work wear,6,2023,7-day click or 1-day view,Post engagements,Awareness,8763,16,598500,63201,104665,0.55,4841,1.65606557,9378,0.51617189,8.96001529,46.2490804,8763,,2,8763,305,47,6,7885,,,,,,,,518,0.49491234,0.79112672,500,0.02770745,9.34490347,9.68132,166.9193103
Boss Lady Collection,Work wear,3,2023,7-day click or 1-day view,Website purchases,Conversion,1,1,45200,6628,12578,4665.29,4665,1.8977067,423,11.02905437,3.36301479,370.9087295,2078,,,2078,19,1,1,,2312,1179,816,618,581,8764,568,212,1.68548259,2.82136391,187,1.68548259,22.00608491,24.94807487,22.00608491
Urban and Ease,Casual wear,3,2023,7-day click or 1-day view,Post engagements,Awareness,16120,17,647500,67792,105333,0.27,4359,1.55376741,16667,0.26154977,15.82315134,41.38541578,16131,11,,16120,445,10,18,14577,,,,,,,,1070,1.015826,1.52672882,1035,0.01424055,4.07406542,4.21183575,290.6166667
Urban and Ease,Casual wear,3,2023,7-day click or 1-day view,ThruPlay,Awareness,11259,18,658900,14764,24138,0.38,4292,1.63492279,150,28.61453333,0.6214268,177.8183777,15737,,,15737,3,,,,12432,11225,7720,7387,6884,22902,11259,141,0.58414119,0.95502574,141,0.57171265,30.44099291,30.44099291,31.10275362
Nouveau,Work wear,6,2023,7-day click or 1-day view,ThruPlay,Awareness,10151,17,625800,10166,15622,0.42,4213,1.53669093,85,49.56164706,0.54410447,269.6671361,11881,,,11881,2,1,,,10593,10222,9408,8201,8161,14983,10151,74,0.47369095,0.71807987,73,0.46728972,56.92891892,57.70876712,57.70876712
Casual Fusion Instant Experience,Casual wear,3,2023,7-day click or 1-day view,Website purchases,Conversion,3,3,128900,4978,8564,1364.92,4095,1.72036963,791,5.17670038,9.23633816,478.1375526,2070,,,2070,30,,,,1837,1018,710,549,518,5817,507,490,5.72162541,8.37685818,417,1.9967305,8.35667347,9.81959233,23.94602339
20% Sale Extended,Promotions,3,2023,7-day click or 1-day view,Landing page views,Consideration,406,16,625800,22040,40105,9.85,4000,1.8196461,1338,2.98953662,3.33624236,99.73818726,710,1,,710,22,3,1,,,,,,,,,683,1.70302955,2.84029038,626,1.64069318,5.85651537,6.38977636,6.07902736
20% Off,Promotions,3,2023,7-day click or 1-day view,Landing page views,Consideration,395,23,854700,18016,23561,10.13,4000,1.30778197,1589,2.51730648,6.74419592,169.772081,762,,1,762,28,6,1,172,,,,,,,,554,2.35134332,2.87522202,518,2.27494589,7.22021661,7.72200772,7.46268657
20% OFF Extended ,Promotions,8,2023,7-day click or 1-day view,Reach,Awareness,141729,11,447000,141729,144240,28.22,4000,1.01771691,372,10.75268817,0.25790349,27.73155851,198,,,199,8,,,,,,,,,,,190,0.1317249,0.13335309,189,0.12756517,21.05263158,21.16402116,21.73913043
Casual Fusion ,Casual wear,3,2023,1-day click,Website purchases,Conversion,3,3,114700,8086,13928,1325.76,3977,1.7224833,679,5.85756996,4.8750718,285.560741,361,,1,361,66,,5,,,,,,,,,289,2.07495692,2.98046005,241,2.01033889,13.76224913,16.50327801,14.20460714
Nouveau Link Click,Work wear,6,2023,7-day click or 1-day view,Link clicks,Unknown,137,43,1458000,32904,47501,28.64,3923,1.44362388,323,12.14563467,0.67998568,82.58857708,299,,,299,137,21,4,,,,,,,,,137,0.28841498,0.41636275,137,,28.63532847,28.63532847,
Party Wear Carousel,Promotions,5,2023,7-day click or 1-day view,Website purchases,Conversion,1,1,49850,10160,14859,3693.85,3694,1.4625,314,11.7638535,2.11319739,248.5934451,176,,,176,16,3,1,,,,,,,,,156,1.04986877,1.25,127,0.89508042,23.67852564,29.08543307,27.77330827
HNB Card Offers,Promotions,3,2023,7-day click or 1-day view,Reach,Awareness,71824,19,745200,71824,74168,41.77,3000,1.03263533,207,14.49275362,0.27909611,40.44871103,111,,,111,11,,,15,,,,,,,,85,0.11460468,0.11695255,84,,35.29411765,35.71428571,
Pan Asia Card Offers,Promotions,3,2023,7-day click or 1-day view,Reach,Awareness,87632,17,575000,87632,89224,34.23,3000,1.01816688,193,15.54404145,0.21630951,33.62324038,89,1,,88,9,,1,77,,,,,,,,1,0.00112077,0.00114114,1,,3000,3000,
